"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_keyboard_response","count_about_this_template","count_block_loop","count_block_sequence","count_end_of_experiment","count_end_of_practice","count_experiment","count_experimental_loop","count_instructions","count_keyboard_response","count_logger","count_practice_loop","count_reset_feedback","count_sketchpad","count_test","count_trial_sequence","datetime","description","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_correct","response_instructions","response_keyboard_response","response_time","response_time_instructions","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimuli_image","subject_nr","subject_parity","time_block_loop","time_experimental_loop","time_instructions","time_keyboard_response","time_logger","time_practice_loop","time_sketchpad","title","total_correct","total_response_time","total_responses","trials","uniform_coordinates","width"
"100","100","577","577","black","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","1","1","1","577","998","577","2","legacy","1024","2","48000","-16","experiment","rood1.jpg","666","even","4212","3198","3198","4212","4820","3198","4212","Extended template","1","577","1","4","yes","800"
"50","50","343","343","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","9","1","1","109","998","109","2","legacy","1024","2","48000","-16","experiment","blauw4.jpg","666","even","4212","3198","3198","4820","4945","3198","4820","Extended template","1","686","2","4","yes","800"
"33","33","270","270","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","0","0","0","0","0","2","2","0","0","2","0","2","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","9","1","1","125","998","125","2","legacy","1024","2","48000","-16","experiment","blauw2.jpg","666","even","4212","3198","3198","4945","5101","3198","4945","Extended template","1","811","3","4","yes","800"
"25","25","230","230","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","0","0","0","0","0","3","3","0","0","3","0","3","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","9","1","1","110","998","110","2","legacy","1024","2","48000","-16","experiment","groen3.jpg","666","even","4212","3198","3198","5116","5257","3198","5116","Extended template","1","921","4","4","yes","800"
"20","20","212","212","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","0","0","0","0","0","4","4","0","0","4","0","4","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","9","1","1","140","998","140","2","legacy","1024","2","48000","-16","experiment","blauw3.jpg","666","even","4212","3198","3198","5257","5413","3198","5257","Extended template","1","1061","5","4","yes","800"
"17","17","200","200","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","0","0","0","0","0","5","5","0","0","5","0","5","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","9","1","1","140","998","140","2","legacy","1024","2","48000","-16","experiment","rood2.jpg","666","even","4212","3198","3198","5413","5584","3198","5413","Extended template","1","1201","6","4","yes","800"
"14","14","189","189","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","0","0","0","0","0","6","6","0","0","6","0","6","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","9","1","1","125","998","125","2","legacy","1024","2","48000","-16","experiment","rood3.jpg","666","even","4212","3198","3198","5584","5740","3198","5584","Extended template","1","1326","7","4","yes","800"
"13","13","185","185","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","0","0","0","0","0","7","7","0","0","7","0","7","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","9","1","1","156","998","156","2","legacy","1024","2","48000","-16","experiment","groen4.jpg","666","even","4212","3198","3198","5740","5912","3198","5740","Extended template","1","1482","8","4","yes","800"
"11","11","189","189","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","0","0","0","0","0","8","8","0","0","8","0","8","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","9","1","1","218","998","218","2","legacy","1024","2","48000","-16","experiment","geel3.jpg","666","even","4212","3198","3198","5912","6162","3198","5912","Extended template","1","1700","9","4","yes","800"
"20","20","187","187","black","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","0","0","0","0","0","9","9","0","0","9","0","9","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","1","1","1","171","998","171","2","legacy","1024","2","48000","-16","experiment","groen1.jpg","666","even","4212","3198","3198","6162","6349","3198","6162","Extended template","2","1871","10","4","yes","800"
