"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_keyboard_response","count_about_this_template","count_block_loop","count_block_sequence","count_end_of_experiment","count_end_of_practice","count_experiment","count_experimental_loop","count_instructions","count_keyboard_response","count_logger","count_practice_loop","count_reset_feedback","count_sketchpad","count_test","count_trial_sequence","datetime","description","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_correct","response_instructions","response_keyboard_response","response_time","response_time_instructions","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimuli_image","subject_nr","subject_parity","time_block_loop","time_experimental_loop","time_instructions","time_keyboard_response","time_logger","time_practice_loop","time_sketchpad","title","total_correct","total_response_time","total_responses","trials","uniform_coordinates","width"
"18","18","186","186","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","0","0","0","0","0","10","10","0","0","10","0","10","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","9","1","1","171","998","171","2","legacy","1024","2","48000","-16","experiment","geel2.jpg","666","even","4212","3198","3198","6349","6552","3198","6349","Extended template","2","2042","11","4","yes","800"
"25","25","181","181","black","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","0","0","0","0","0","11","11","0","0","11","0","11","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","1","1","1","124","998","124","2","legacy","1024","2","48000","-16","experiment","blauw1.jpg","666","even","4212","3198","3198","6552","6708","3198","6552","Extended template","3","2166","12","4","yes","800"
"23","23","176","176","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","0","0","0","0","0","12","12","0","0","12","0","12","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","9","1","1","124","998","124","2","legacy","1024","2","48000","-16","experiment","rood4.jpg","666","even","4212","3198","3198","6708","6864","3198","6708","Extended template","3","2290","13","4","yes","800"
"29","29","176","176","black","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","0","0","0","0","0","13","13","0","0","13","0","13","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","1","1","1","171","998","171","2","legacy","1024","2","48000","-16","experiment","geel1.jpg","666","even","4212","3198","3198","6864","7066","3198","6864","Extended template","4","2461","14","4","yes","800"
"27","27","172","172","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","0","0","0","0","0","14","14","0","0","14","0","14","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","9","1","1","125","998","125","2","legacy","1024","2","48000","-16","experiment","groen2.jpg","666","even","4212","3198","3198","7066","7207","3198","7066","Extended template","4","2586","15","4","yes","800"
"25","25","172","172","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","0","0","0","0","0","15","15","0","0","15","0","15","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","9","1","1","171","998","171","2","legacy","1024","2","48000","-16","experiment","geel4.jpg","666","even","4212","3198","3198","7207","7410","3198","7207","Extended template","4","2757","16","4","yes","800"
"0","0","234","234","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","1","1","0","0","0","0","0","16","16","0","1","16","0","16","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","9","1","1","234","998","234","2","legacy","1024","2","48000","-16","experiment","blauw3.jpg","666","even","7940","3198","3198","7940","8205","3198","7940","Extended template","0","234","1","16","yes","800"
"50","50","203","203","black","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","1","1","0","0","0","0","0","17","17","0","1","17","0","17","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","1","1","1","172","998","172","2","legacy","1024","2","48000","-16","experiment","blauw1.jpg","666","even","7940","3198","3198","8205","8408","3198","8205","Extended template","1","406","2","16","yes","800"
"33","33","177","177","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","1","1","0","0","0","0","0","18","18","0","1","18","0","18","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","9","1","1","125","998","125","2","legacy","1024","2","48000","-16","experiment","groen4.jpg","666","even","7940","3198","3198","8408","8564","3198","8408","Extended template","1","531","3","16","yes","800"
"25","25","152","152","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","1","1","0","0","0","0","0","19","19","0","1","19","0","19","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","9","1","1","78","998","78","2","legacy","1024","2","48000","-16","experiment","blauw4.jpg","666","even","7940","3198","3198","8564","8673","3198","8564","Extended template","1","609","4","16","yes","800"
"20","20","156","156","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","1","1","0","0","0","0","0","20","20","0","1","20","0","20","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","9","1","1","172","998","172","2","legacy","1024","2","48000","-16","experiment","rood4.jpg","666","even","7940","3198","3198","8673","8876","3198","8673","Extended template","1","781","5","16","yes","800"
"17","17","151","151","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","1","1","0","0","0","0","0","21","21","0","1","21","0","21","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","9","1","1","125","998","125","2","legacy","1024","2","48000","-16","experiment","geel4.jpg","666","even","7940","3198","3198","8876","9063","3198","8876","Extended template","1","906","6","16","yes","800"
"14","14","141","141","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","1","1","0","0","0","0","0","22","22","0","1","22","0","22","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","9","1","1","78","998","78","2","legacy","1024","2","48000","-16","experiment","geel2.jpg","666","even","7940","3198","3198","9079","9204","3198","9079","Extended template","1","984","7","16","yes","800"
"25","25","137","137","black","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","1","1","0","0","0","0","0","23","23","0","1","23","0","23","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","1","1","1","109","998","109","2","legacy","1024","2","48000","-16","experiment","geel1.jpg","666","even","7940","3198","3198","9204","9328","3198","9204","Extended template","2","1093","8","16","yes","800"
"22","22","141","141","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","1","1","0","0","0","0","0","24","24","0","1","24","0","24","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","9","1","1","172","998","172","2","legacy","1024","2","48000","-16","experiment","geel3.jpg","666","even","7940","3198","3198","9328","9531","3198","9328","Extended template","2","1265","9","16","yes","800"
"30","30","144","144","black","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","1","1","0","0","0","0","0","25","25","0","1","25","0","25","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","1","1","1","172","998","172","2","legacy","1024","2","48000","-16","experiment","rood1.jpg","666","even","7940","3198","3198","9531","9734","3198","9531","Extended template","3","1437","10","16","yes","800"
"27","27","142","142","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","1","1","0","0","0","0","0","26","26","0","1","26","0","26","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","9","1","1","125","998","125","2","legacy","1024","2","48000","-16","experiment","blauw2.jpg","666","even","7940","3198","3198","9734","9875","3198","9734","Extended template","3","1562","11","16","yes","800"
"25","25","144","144","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","1","1","0","0","0","0","0","27","27","0","1","27","0","27","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","9","1","1","171","998","171","2","legacy","1024","2","48000","-16","experiment","groen2.jpg","666","even","7940","3198","3198","9875","10062","3198","9875","Extended template","3","1733","12","16","yes","800"
"23","23","147","147","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","1","1","0","0","0","0","0","28","28","0","1","28","0","28","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","9","1","1","172","998","172","2","legacy","1024","2","48000","-16","experiment","groen3.jpg","666","even","7940","3198","3198","10077","10280","3198","10077","Extended template","3","1905","13","16","yes","800"
"29","29","145","145","black","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","1","1","0","0","0","0","0","29","29","0","1","29","0","29","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","1","1","1","125","998","125","2","legacy","1024","2","48000","-16","experiment","groen1.jpg","666","even","7940","3198","3198","10280","10436","3198","10280","Extended template","4","2030","14","16","yes","800"
"27","27","148","148","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","1","1","0","0","0","0","0","30","30","0","1","30","0","30","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","9","1","1","187","998","187","2","legacy","1024","2","48000","-16","experiment","rood3.jpg","666","even","7940","3198","3198","10436","10655","3198","10436","Extended template","4","2217","15","16","yes","800"
"25","25","161","161","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","1","1","0","0","0","0","0","31","31","0","1","31","0","31","Tue Aug 02 2016 14:11:03 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","9","1","1","358","998","358","2","legacy","1024","2","48000","-16","experiment","rood2.jpg","666","even","7940","3198","3198","10655","11045","3198","10655","Extended template","4","2575","16","16","yes","800"
