"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_keyboard_response","count_about_this_template","count_block_loop","count_block_sequence","count_end_of_experiment","count_end_of_practice","count_experiment","count_experimental_loop","count_instructions","count_keyboard_response","count_logger","count_practice_loop","count_reset_feedback","count_sketchpad","count_test","count_trial_sequence","datetime","description","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_correct","response_instructions","response_keyboard_response","response_time","response_time_instructions","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimuli_image","subject_nr","subject_parity","time_block_loop","time_experimental_loop","time_instructions","time_keyboard_response","time_logger","time_practice_loop","time_sketchpad","title","total_correct","total_response_time","total_responses","trials","uniform_coordinates","width"
"18","18","115","115","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","0","0","0","0","0","10","10","0","0","10","0","10","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","9","space","1","16","780","16","2","legacy","1024","2","48000","-16","experiment","rood4.jpg","0","even","1919","1107","1107","3447","3479","1107","3447","Extended template","2","1263","11","4","yes","800"
"17","17","105","105","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","0","0","0","0","0","11","11","0","0","11","0","11","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","9","space","1","0","780","0","2","legacy","1024","2","48000","-16","experiment","geel3.jpg","0","even","1919","1107","1107","3494","3510","1107","3494","Extended template","2","1263","12","4","yes","800"
"15","15","98","98","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","0","0","0","0","0","12","12","0","0","12","0","12","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","9","space","1","15","780","15","2","legacy","1024","2","48000","-16","experiment","rood2.jpg","0","even","1919","1107","1107","3510","3557","1107","3510","Extended template","2","1278","13","4","yes","800"
"21","21","91","91","black","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","0","0","0","0","0","13","13","0","0","13","0","13","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","1","space","1","0","780","0","2","legacy","1024","2","48000","-16","experiment","rood1.jpg","0","even","1919","1107","1107","3557","3588","1107","3557","Extended template","3","1278","14","4","yes","800"
"19","19","82","82","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","0","0","0","0","0","14","14","0","0","14","0","14","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","9","space","1","31","780","31","2","legacy","1024","2","48000","-16","experiment","blauw3.jpg","0","even","1919","1107","1107","3588","3635","1107","3588","Extended template","3","1309","16","4","yes","800"
"24","24","78","78","black","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","0","0","0","0","0","15","15","0","0","15","0","15","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","1","space","1","15","780","15","2","legacy","1024","2","48000","-16","experiment","geel1.jpg","0","even","1919","1107","1107","3635","3681","1107","3635","Extended template","4","1324","17","4","yes","800"
"0","0","15","15","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","1","1","0","0","0","0","0","16","16","0","1","16","0","16","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","9","space","1","15","780","15","2","legacy","1024","2","48000","-16","experiment","geel3.jpg","0","even","3744","1107","1107","3744","3775","1107","3744","Extended template","0","15","1","16","yes","800"
"0","0","31","31","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","1","1","0","0","0","0","0","17","17","0","1","17","0","17","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","9","space","1","62","780","62","2","legacy","1024","2","48000","-16","experiment","groen3.jpg","0","even","3744","1107","1107","3775","3837","1107","3775","Extended template","0","93","3","16","yes","800"
"0","0","27","27","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","1","1","0","0","0","0","0","18","18","0","1","18","0","18","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","9","space","1","16","780","16","2","legacy","1024","2","48000","-16","experiment","rood2.jpg","0","even","3744","1107","1107","3837","3884","1107","3837","Extended template","0","109","4","16","yes","800"
"0","0","22","22","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","1","1","0","0","0","0","0","19","19","0","1","19","0","19","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","9","space","1","0","780","0","2","legacy","1024","2","48000","-16","experiment","groen2.jpg","0","even","3744","1107","1107","3884","3915","1107","3884","Extended template","0","109","5","16","yes","800"
"17","17","18","18","black","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","1","1","0","0","0","0","0","20","20","0","1","20","0","20","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","1","space","1","0","780","0","2","legacy","1024","2","48000","-16","experiment","blauw1.jpg","0","even","3744","1107","1107","3915","3947","1107","3915","Extended template","1","109","6","16","yes","800"
"29","29","18","18","black","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","1","1","0","0","0","0","0","21","21","0","1","21","0","21","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","1","space","1","15","780","15","2","legacy","1024","2","48000","-16","experiment","rood1.jpg","0","even","3744","1107","1107","3947","3978","1107","3947","Extended template","2","124","7","16","yes","800"
